#                 frames                   t (s)                 x (pxl)                 y (pxl)                       f
                   -40.0       6.270000000000007                     nan                     nan                     nan
                   -39.0      6.3745000000000065                     nan                     nan                     nan
                   -38.0       6.479000000000006                     nan                     nan                     nan
                   -37.0       6.583500000000006                     nan                     nan                     nan
                   -36.0       6.688000000000006                     nan                     nan                     nan
                   -35.0       6.792500000000006                     nan                     nan                     nan
                   -34.0       6.897000000000006                     nan                     nan                     nan
                   -33.0       7.001500000000005                     nan                     nan                     nan
                   -32.0       7.106000000000005                     nan                     nan                     nan
                   -31.0       7.210500000000005                     nan                     nan                     nan
                   -30.0       7.315000000000005                     nan                     nan                     nan
                   -29.0       7.419500000000005                     nan                     nan                     nan
                   -28.0      7.5240000000000045                     nan                     nan                     nan
                   -27.0       7.628500000000004                     nan                     nan                     nan
                   -26.0       7.733000000000004                     nan                     nan                     nan
                   -25.0       7.837500000000004                     nan                     nan                     nan
                   -24.0       7.942000000000004                     nan                     nan                     nan
                   -23.0       8.046500000000004                     nan                     nan                     nan
                   -22.0       8.151000000000003                     nan                     nan                     nan
                   -21.0       8.255500000000003                     nan                     nan                     nan
                   -20.0       8.360000000000003                     nan                     nan                     nan
                   -19.0       8.464500000000003                     nan                     nan                     nan
                   -18.0       8.569000000000003                     nan                     nan                     nan
                   -17.0       8.673500000000002                     nan                     nan                     nan
                   -16.0       8.778000000000002                     nan                     nan                     nan
                   -15.0       8.882500000000002                     nan                     nan                     nan
                   -14.0       8.987000000000002                     nan                     nan                     nan
                   -13.0       9.091500000000002                     nan                     nan                     nan
                   -12.0       9.196000000000002                     nan                     nan                     nan
                   -11.0       9.300500000000001                     nan                     nan                     nan
                   -10.0       9.405000000000001                     nan                     nan                     nan
                    -9.0       9.509500000000001                     nan                     nan                     nan
                    -8.0                   9.614                     nan                     nan                     nan
                    -7.0                  9.7185                     nan                     nan                     nan
                    -6.0                   9.823                     nan                     nan                     nan
                    -5.0                  9.9275                     nan                     nan                     nan
